transcript_id,employee_id,interview_type,tenure_months,interview_date,channel,transcript_text,synthetic_note
VOI-001,EMP-0003,exit,6,2026-08-26,structured_exit_interview,"I have accepted a role elsewhere. To be straight with you, the money was the deciding factor and it was not close. I was offered roughly thirty percent more base, and I did the maths on what I was actually being paid per hour once on-call was factored in. I like the team, genuinely, but I have watched three people leave for the same reason in a year and nothing changed.","SYNTHETIC - hand-authored, no real person or employer"
VOI-002,EMP-0005,exit,19,2026-08-15,exit_interview_phone,"I was passed over for the senior role in March. I was told it was 'not quite the right timing' and that I should keep demonstrating leadership, which I have done -- I have since led two cross-team projects end to end. I am not asking for a title to sit on, I want the scope. If that is not coming, I would rather go somewhere it is.","SYNTHETIC - hand-authored, no real person or employer"
VOI-003,EMP-0007,exit,32,2026-08-04,exit_interview_hr,My manager left in January and nobody was appointed for four months. In that time I had no one to go to -- I was escalating things into the void and getting no response. When the new manager arrived she inherited a backlog and prioritised other people's. I feel like I have been invisible since January. I have started interviewing.,"SYNTHETIC - hand-authored, no real person or employer"
VOI-004,EMP-0001,exit,45,2026-07-24,offboarding_interview,"Honestly? I am exhausted. I have been on call every other week for fourteen months and I have not taken a full week of leave since 2024. We had an incident in March that ran for nine hours and I was the one on the bridge, and then we did the retro the next morning at nine. The work itself is fine. The volume is not sustainable and nobody is measuring it.","SYNTHETIC - hand-authored, no real person or employer"
VOI-005,EMP-0002,stay,58,2026-07-13,stay_interview,"I want to stay, that is not in question. My one reservation is that I cannot see the next step from here. I have asked twice what the path looks like and got two different answers. I do not need a promise, I just need to know whether the ladder exists.","SYNTHETIC - hand-authored, no real person or employer"
VOI-006,EMP-0004,exit,17,2026-07-02,exit_interview_phone,"I am stepping back to go part time for a year. My eldest starts school next autumn and the travel expectation has grown -- I am regularly on calls until seven, and I have not worked a normal week since we moved to the new schedule. It is not that the company is unkind about it, the flexibility just is not there any more at my level.","SYNTHETIC - hand-authored, no real person or employer"
VOI-007,EMP-0006,exit,30,2026-06-21,exit_interview_hr,"After the reorganisation my role absorbed everything the previous team used to share. I now cover two product areas. I do not have time to do either properly, so I do both badly, and the quality issues that creates come back to me as rework. I have raised this twice. The second time I was told it was a temporary capacity issue, which was eight months ago.","SYNTHETIC - hand-authored, no real person or employer"
VOI-008,EMP-0009,stay,43,2026-06-10,retention_checkin,"This is a good place to work and I want that on the record. My manager is the best I have had, the mission is the most interesting thing I have worked on, and I have been trusted with work I would not have been trusted with three years ago. My only note is that I would like more stretch assignments rather than more of the same.","SYNTHETIC - hand-authored, no real person or employer"
VOI-009,EMP-0008,exit,56,2026-05-30,structured_exit_interview,"The work is not the problem, the framing is. We have decided I am a manager, but I do not want to manage people -- I want to keep going deeper on the technical track. We do not have a dual track, so staying means becoming something I do not want to be. I have been unwilling to say this out loud until now, which is its own problem.","SYNTHETIC - hand-authored, no real person or employer"
VOI-010,EMP-0031,exit,15,2026-05-19,exit_interview_phone,"I found out in a meeting, by accident, that a colleague who joined after me on the same band is earning materially more. We do identical work. I did not raise it because I did not want to be that person, but then I did not raise it for eight months either, which is worse. I have asked for a correction twice and been told the offer was 'market at the time'. The gap is not the problem. The silence is.","SYNTHETIC - hand-authored, no real person or employer"
