review_id,employee_id,review_period,rating_score,goals_met_pct,review_text
REV-00001,EMP-0001,2026-Q2,4,89,Delivered the migration project ahead of schedule; recommended for stretch assignment.
REV-00002,EMP-0002,2026-Q2,4,87,Exceeded goals for the second straight quarter; strong peer feedback on mentorship.
REV-00003,EMP-0003,2026-Q2,4,94,Exceeded goals again this cycle; in our 1:1 raised a competing offer and asked about band placement.
REV-00004,EMP-0004,2026-Q2,3,50,Missed two consecutive sprint commitments; disengaged in team meetings.
REV-00005,EMP-0005,2026-Q2,4,90,Consistently high-quality output; no retention concerns raised.
REV-00006,EMP-0006,2026-Q2,4,97,Consistently high-quality output; no retention concerns raised.
REV-00007,EMP-0007,2026-Q2,4,91,Exceeded goals for the second straight quarter; strong peer feedback on mentorship.
REV-00008,EMP-0008,2026-Q2,4,97,Top performer on the platform migration; noted pay feels out of step with market and is interviewing externally.
REV-00009,EMP-0009,2026-Q2,2,63,Missed two consecutive sprint commitments; disengaged in team meetings.
REV-00010,EMP-0010,2026-Q2,2,61,Goals largely unmet this cycle; manager noted visible frustration with role scope.
REV-00011,EMP-0011,2026-Q2,3,57,Inconsistent output and low meeting participation; workload concerns raised.
REV-00012,EMP-0012,2026-Q2,5,94,Consistently high-quality output; no retention concerns raised.
REV-00013,EMP-0013,2026-Q2,5,96,Delivered the migration project ahead of schedule; recommended for stretch assignment.
REV-00014,EMP-0014,2026-Q2,4,85,Exceeded goals for the second straight quarter; strong peer feedback on mentorship.
REV-00015,EMP-0015,2026-Q2,5,99,Exceeded goals for the second straight quarter; strong peer feedback on mentorship.
REV-00016,EMP-0016,2026-Q2,5,90,Delivered the migration project ahead of schedule; recommended for stretch assignment.
REV-00017,EMP-0018,2026-Q2,4,89,Delivered the migration project ahead of schedule; recommended for stretch assignment.
REV-00018,EMP-0020,2026-Q2,4,99,Consistently high-quality output; no retention concerns raised.
REV-00019,EMP-0021,2026-Q2,4,86,Consistently high-quality output; no retention concerns raised.
REV-00020,EMP-0022,2026-Q2,3,64,Inconsistent output and low meeting participation; workload concerns raised.
REV-00021,EMP-0023,2026-Q2,4,97,Consistently high-quality output; no retention concerns raised.
REV-00022,EMP-0024,2026-Q2,4,85,Exceeded goals for the second straight quarter; strong peer feedback on mentorship.
REV-00023,EMP-0025,2026-Q2,4,91,Exceeded goals for the second straight quarter; strong peer feedback on mentorship.
REV-00024,EMP-0026,2026-Q2,5,94,Exceeded goals for the second straight quarter; strong peer feedback on mentorship.
